objectid,title,authorname,yearfirstpublished,display_template,subject,location,latitude,longitude,object_location,anthology01,anth01year,anth01startpage,anth01editor,anth01press,anthology02,anth02year,anth02startpage,anth02editor,anth02press,anthology03,anth03year,anth03startpage,Anth02Editor,anth03press,authorbio,authorborn,authorphoto
blacklesbianauthor100,Interspecies,Alexis De Veaux,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,137,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor101,Mouths of Rain: Be Opened,Alexis Pauline Gumbs,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,-19,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor102,her relationship to Africa lives in the part of her that is eight years,Alexis Pauline Gumbs,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,148,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor103,The Shape of My Impact,Alexis Pauline Gumbs,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,193,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor104,Can It Be?,Alice Walker,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,4,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor105,You! Inez!,Alice Ruth Moore Dunbar-Nelson,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,3,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor106,A Mona Lisa,Angelina Weld Grimké,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,8,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor107,"Three for the Price of One: Notes from a Gay, Black Feminist",Anita Cornwell,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,47,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor108,A Meeting of the Sapphic Daughters,Ann Allen Shockley,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,57,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor109,Black Pearl: A poetic drama for four voices,Arisa White,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,150,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor110,Love Poem,Audre Lorde,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,9,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor111,Woman,Audre Lorde,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,10,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor112,Uses of the Erotic: The Erotic as Power,Audre Lorde,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,11,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor113,"A Ratchet Lens: Black Queer Youth, Agency, Hip Hop, and the Black Ratchet Imagination",Bettina Love,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,226,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor114,"Introduction: No Hand, No Gaze",Briona Simone Jones,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,-25,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor115,Deviance as Resistance: A New Research Agenda for the Study of Black Politics,Cathy J. Cohen,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,249,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor116,Part V: Radical Futurities,Charlene A. Carruthers,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,191,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor117,How to Make Art,Cheryl Boyce-Taylor,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,167,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor118,Foreword: We Won't Stop ,Cheryl Clarke,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,-15,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor119,Kittatinny,Cheryl Clarke,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,18,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor120,"To be an orphan inside of ""blackness""",Dawn Lundy Martin,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,66,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor121,poem from _No Language Is Neutral_,Dionne Brand,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,103,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor122,Erzulie-Oshun (Georgia Style),doris diosa davenport,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,168,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor123,Never Mind the Misery/Where's the Magic?,doris diosa davenport,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,280,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor124,Black Butch Woman,Janae Johnson,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,116,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor125,Curtain 1983,Jewelle Gomez,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,118,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor126,"aubade, in pieces, for my ex-lovers",JP Howard,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,115,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor127,Ain't I a Woman?,Kai Davis,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,67,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor128,"Not Feminine as in Straight, but Femme as in Queer #AF: The Queer & Black Roots of My Femme Expression/Experience",Kaila Story,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,69,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor129,At Another Crossroads,Kate Rushin,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,286,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor130,B.D. Woman's Blues,Lucille Bogan,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,19,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor131,Part IV: The Sacred,M. Jacqui Alexander,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,135,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor132,Wolfpack,Mecca Jamilah Sullivan,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,76,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor133,Notes on Speechlessness,Michelle Cliff,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,121,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor134,Finer with Time,Michelle Parkerson,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,20,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor135,Jambula Tree,Monica Arac de Nyeko,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,22,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor136,Living -Single-,Moya Bailey,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,127,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor137,Part IV: The Sacred,Omotara James,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,136,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor138,We Are Here,Pamela Sneed,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,91,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor139,Metamorphosis,Pat Parker,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,35,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor140,My Lover Is a Woman,Pat Parker,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,36,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor141,Sunshine,Pat Parker,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,39,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor142,funny,Pat Parker,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,130,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor143,Without Name,Pauli Murray,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,170,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor144,Part I: Uses of the Erotic,Red Jordan Arobateau,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,1,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor145,Anew,Sangodare Akinwale,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,179,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor146,"Play Aunties and Dyke Bitches: Gender, Generation, and the Ethics of Black Queer Kinship",Savannah Shange,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,294,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor147,Fighting Racism: An Approach Through Ritual,SDiane Bogus,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,171,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor148,The Myth and Tradition of the Black Bulldagger,SDiane Bogus,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,287,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor149,excerpt from _love conjure/blues_,sharon bridgforth,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,188,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor150,Archiving Black Lesbians in Practice: The Salsa Soul Sisters Archival Collection,Shawn(ta) Smith-Cruz,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,314,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor151,More Than Human: Black Feminisms of the Future in Jewelle Gomez's _The Gilda Stories_,Susana Morris,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,318,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor152,Celebrant,Terri Jewell,,record,,,,,,Mouths of Rain: Anthology of Black Lesbian Thought,2021,40,Briona Simone Jones,The New Press,,,,,,,,,,,,,
blacklesbianauthor153,"Leaving Home, Coming Home",Anette Clough,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,8,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor154,I Am Your Sister: Black Women Organizing Across Sexualities,Audre Lorde,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,94,Makeda Silvera,Sister Vision,Mouths of Rain: Anthology of Black Lesbian Thought,2021,198,Briona Simone Jones,The New Press,,,,,,,,
blacklesbianauthor155,The Window,Carol Camper,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,79,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor156,Gaia,Carol Camper,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,326,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor157,Untitled,Carol Camper,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,328,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor158,"Saying the Least Said, Telling the Least Told: The Voices of Black Lesbian Writers",Cheryl Clarke,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,171,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor159,Living as a lesbian on the make,Cheryl Clarke,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,335,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor160,Great Expectations,Cheryl Clarke,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,376,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor161,Reaching Across the Void,Christina Springer,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,11,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor162,Ancestor Song,Christina Springer,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,139,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor163,Alana,Christina Springer,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,256,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor164,A Black Girl Thing,Christina Springer,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,38,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor165,A Time,Debbie Douglas,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,119,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor166,Hard Against the Soul,Dionne Brand,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,58,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor167,Tell Me,Donayle L. Hammond,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,329,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor168,Issada,Doris L. Harris,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,70,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor169,Image,Doris L. Harris,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,243,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor170,Goodbye,Doris L. Harris,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,248,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor171,Untitled,Heather D. Clark,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,369,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor172,Taking the Home out of Homophobia: Black Lesbian Health,Jewelle Gomez; Barbara Smith,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,40,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor173,Dear Sisters,Judy Nicholson,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,106,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor174,From Space to Page,Judy Nicholson,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,222,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor175,Until You Said,Judy Nicholson,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,274,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor176,Lesbians Get A.I.D.S.,Karen Augustine,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,266,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor177,JOE/Rape Poem,Karen Augustine,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,365,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor178,I Too Like to Eat Out,Laura Irene Wayne,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,310,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor179,Casselberry Harvest,Leleti Tamu,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,27,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor180,Making Love on Canvas,Leleti Tamu,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,28,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor181,Wrap Around Joy,Leleti Tamu,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,332,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor182,Expectations,Leleti Tamu,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,333,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor183,Dos Culturas / Two Cultures,Maria Cora,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,193,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor184,Single Embrace,Maria Cora,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,225,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor185,Fear,Maria Cora,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,227,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor186,In the Trenches,Raymina Y. Mays,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,212,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor187,Driving Alone To P-Town Is No Easy Thing,S. Renee Bess,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,279,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor188,The Joys and Power in Celibacy ,SDiane Bogus,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,355,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor189,Meditation on LOC Sisterhood,Skye Ward,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,105,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor190,Interview with Miss Ruth,Terri Jewell,,record,,,,,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,149,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
blacklesbianauthor191,And What About the Children,Audre Lorde,,record,,,,,,The Black Woman: An Anthology,1970,19,Toni Cade Bombara,New American Library,,,,,,,,,,,,,
blacklesbianauthor192,Naturally,Audre Lorde,,record,,,,,,The Black Woman: An Anthology,1970,18,Toni Cade Bombara,New American Library,,,,,,,,,,,,,
blacklesbianauthor193,An Open Letter to Mary Daly,Audre Lorde,,record,,,,,,This Bridge Called My Back: Writings By Radical Women of Color,1981,94,Cherríe Moraga and Gloria Anzaldúa,Persephone Press,,,,,,,,,,,,,
blacklesbianauthor194,The Master's Tools Will Never Dismantle the Master's House,Audre Lorde,,record,,,,,,This Bridge Called My Back: Writings By Radical Women of Color,1981,98,Cherríe Moraga and Gloria Anzaldúa,Persephone Press,,,,,,,,,,,,,
blacklesbianauthor195,Across the Kitchen Table: A Sister-to-Sister Dialogue,Barbara Smith; Beverly Smith,,record,,,,,,This Bridge Called My Back: Writings By Radical Women of Color,1981,113,Cherríe Moraga and Gloria Anzaldúa,Persephone Press,,,,,,,,,,,,,
blacklesbianauthor196,Lesbianism: An Act of Resistance,Cheryl Clarke,,record,,,,,,This Bridge Called My Back: Writings By Radical Women of Color,1981,128,Cherríe Moraga and Gloria Anzaldúa,Persephone Press,,,,,,,,,,,,,
blacklesbianauthor197,A Black Feminist Statement/The Combahee River Collective Statement,Combahee River Collective,,record,,,,,,This Bridge Called My Back: Writings By Radical Women of Color,1981,210,Cherríe Moraga and Gloria Anzaldúa,Persephone Press,But Some Of Us Are Brave: Black Women's Studies,1982,13,"Gloria T. Hull, Patricia Bell Scott, and Barbara Smith",The Feminist Press,Home Girls: A Black Feminist Anthology ,1983,272,Barbara Smith,Kitchen Table: Women of Color Press,,,
blacklesbianauthor198,The Pathology of Racism: A Conversation with Third World Wimmin,doris diosa davenport,,record,,,,,,This Bridge Called My Back: Writings By Radical Women of Color,1981,85,Cherríe Moraga and Gloria Anzaldúa,Persephone Press,,,,,,,,,,,,,
blacklesbianauthor199,Millicent Fredericks,Gabrielle Daniels,,record,,,,,,This Bridge Called My Back: Writings By Radical Women of Color,1981,76,Cherríe Moraga and Gloria Anzaldúa,Persephone Press,,,,,,,,,,,,,
blacklesbianauthor200,billie lives! billie lives!,hattie gosset,,record,,,,,,This Bridge Called My Back: Writings By Radical Women of Color,1981,109,Cherríe Moraga and Gloria Anzaldúa,Persephone Press,,,,,,,,,,,,,
blacklesbianauthor201,who told you anbody wants to hear from you? you ain't nothing but a black woman!,hattie gosset,,record,,,,,,This Bridge Called My Back: Writings By Radical Women of Color,1981,175,Cherríe Moraga and Gloria Anzaldúa,Persephone Press,,,,,,,,,,,,,
blacklesbianauthor202,The Bridge Poem,Kate Rushin,,record,,,,,,This Bridge Called My Back: Writings By Radical Women of Color,1981,-21,Cherríe Moraga and Gloria Anzaldúa,Persephone Press,,,,,,,,,,,,,
blacklesbianauthor203,Revolution: It's Not Neat or Pretty or Quick,Pat Parker,,record,,,,,,This Bridge Called My Back: Writings By Radical Women of Color,1981,238,Cherríe Moraga and Gloria Anzaldúa,Persephone Press,,,,,,,,,,,,,
blacklesbianauthor204,Brownness,Andrea Canaan,,record,,,,,,This Bridge Called My Back: Writings By Radical Women of Color (4ed),2015,232,Cherríe Moraga and Gloria Anzaldúa,SUNY Press,,,,,,,,,,,,,
blacklesbianauthor205,The Black Back-Ups,Kate Rushin,,record,,,,,,This Bridge Called My Back: Writings By Radical Women of Color (4ed),2015,78,Cherríe Moraga and Gloria Anzaldúa,SUNY Press,Home Girls: A Black Feminist Anthology ,1983,60,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,
blacklesbianauthor206,The Tired Poem: Last Letter From a Typical (Unemployed) Black Professional Woman,Kate Rushin,,record,,,,,,This Bridge Called My Back: Writings By Radical Women of Color (4ed),2015,106,Cherríe Moraga and Gloria Anzaldúa,SUNY Press,Home Girls: A Black Feminist Anthology ,1983,255,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,
blacklesbianauthor207,To Be Continued...,Kate Rushin,,record,,,,,,This Bridge Called My Back: Writings By Radical Women of Color (4ed),2015,109,Cherríe Moraga and Gloria Anzaldúa,SUNY Press,,,,,,,,,,,,,