Title,FirstName,LastName,Genre,Anthology01,Anth01Year,Anth01StartPage,Anth01Editor,Anth01Press,Anthology02,Anth02Year,Anth02StartPage,Anth02Editor,Anth02Press,Anthology03,Anth03Year,Anth03StartPage,Anth02Editor,Anth03Press,AuthorBio,AuthorBorn,AuthorPhoto
And What About the Children,Audre,Lorde,,The Black Woman: An Anthology,1970,19,Toni Cade Bombara,New American Library,,,,,,,,,,,,,
Naturally,Audre,Lorde,,The Black Woman: An Anthology,1970,18,Toni Cade Bombara,New American Library,,,,,,,,,,,,,
Lesbianism: An Act of Resistance,Cheryl,Clarke,,This Bridge Called My Back: Writings By Radical Women of Color,1981,128,Cherríe Moraga and Gloria Anzaldúa,Persephone Press,,,,,,,,,,,,,
Millicent Fredericks,Gabrielle,Daniels,,This Bridge Called My Back: Writings By Radical Women of Color,1981,76,Cherríe Moraga and Gloria Anzaldúa,Persephone Press,,,,,,,,,,,,,
The Pathology of Racism: A Conversation with Third World Wimmin,doris diosa,davenport,,This Bridge Called My Back: Writings By Radical Women of Color,1981,85,Cherríe Moraga and Gloria Anzaldúa,Persephone Press,,,,,,,,,,,,,
billie lives! billie lives!,hattie,gosset,,This Bridge Called My Back: Writings By Radical Women of Color,1981,109,Cherríe Moraga and Gloria Anzaldúa,Persephone Press,,,,,,,,,,,,,
who told you anbody wants to hear from you? you ain't nothing but a black woman!,hattie,gosset,,This Bridge Called My Back: Writings By Radical Women of Color,1981,175,Cherríe Moraga and Gloria Anzaldúa,Persephone Press,,,,,,,,,,,,,
An Open Letter to Mary Daly,Audre,Lorde,,This Bridge Called My Back: Writings By Radical Women of Color,1981,94,Cherríe Moraga and Gloria Anzaldúa,Persephone Press,,,,,,,,,,,,,
The Master's Tools Will Never Dismantle the Master's House,Audre,Lorde,,This Bridge Called My Back: Writings By Radical Women of Color,1981,98,Cherríe Moraga and Gloria Anzaldúa,Persephone Press,,,,,,,,,,,,,
Revolution: It's Not Neat or Pretty or Quick,Pat,Parker,,This Bridge Called My Back: Writings By Radical Women of Color,1981,238,Cherríe Moraga and Gloria Anzaldúa,Persephone Press,,,,,,,,,,,,,
The Bridge Poem,Kate,Rushin,,This Bridge Called My Back: Writings By Radical Women of Color,1981,-21,Cherríe Moraga and Gloria Anzaldúa,Persephone Press,,,,,,,,,,,,,
Across the Kitchen Table: A Sister-to-Sister Dialogue,Barbara; Beverly,Smith; Smith,,This Bridge Called My Back: Writings By Radical Women of Color,1981,113,Cherríe Moraga and Gloria Anzaldúa,Persephone Press,,,,,,,,,,,,,
A Black Feminist Statement/The Combahee River Collective Statement,Combahee River Collective,,,This Bridge Called My Back: Writings By Radical Women of Color,1981,210,Cherríe Moraga and Gloria Anzaldúa,Persephone Press,But Some Of Us Are Brave: Black Women's Studies,1982,13,"Gloria T. Hull, Patricia Bell Scott, and Barbara Smith",The Feminist Press,Home Girls: A Black Feminist Anthology ,1983,272,Barbara Smith,Kitchen Table: Women of Color Press,,,
"Face-to-Face, Day-to-Day—Racism CR",Tia; Freada; Barbara; Beverly,Cross; Klein; Smith; Smith,,But Some Of Us Are Brave: Black Women's Studies,1982,52,"Gloria T. Hull, Patricia Bell Scott, and Barbara Smith",The Feminist Press,,,,,,,,,,,,,
Researching Alice Dunbar-Nelson: A Personal and Literary Persepective,Akasha Gloria T.,Hull ,,But Some Of Us Are Brave: Black Women's Studies,1982,189,"Gloria T. Hull, Patricia Bell Scott, and Barbara Smith",The Feminist Press,,,,,,,,,,,,,
Introduction: The Politics of Black Women's Studies,Akasha Gloria T.; Barbara,Hull; Smith,,But Some Of Us Are Brave: Black Women's Studies,1982,-17,"Gloria T. Hull, Patricia Bell Scott, and Barbara Smith",The Feminist Press,,,,,,,,,,,,,
Racism and Women's Studies,Barbara ,Smith,,But Some Of Us Are Brave: Black Women's Studies,1982,48,"Gloria T. Hull, Patricia Bell Scott, and Barbara Smith",The Feminist Press,,,,,,,,,,,,,
Black Women's Health: Notes for a Course,Beverly,Smith,,But Some Of Us Are Brave: Black Women's Studies,1982,103,"Gloria T. Hull, Patricia Bell Scott, and Barbara Smith",The Feminist Press,,,,,,,,,,,,,
Toward a Black Feminist Criticism,Barbara,Smith,,But Some Of Us Are Brave: Black Women's Studies,1982,157,"Gloria T. Hull, Patricia Bell Scott, and Barbara Smith",The Feminist Press,Mouths of Rain: Anthology of Black Lesbian Thought,2021,204,Briona Simone Jones,The New Press,,,,,,,,
Black Lesbian/Feminist Organizing: A Conversation,Tania; Gwendolyn; Barbara; Jameelah,Abdulahad; Rogers; Smith; Waheed,,Home Girls: A Black Feminist Anthology ,1983,293,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
Before I Dress and Soar Again,Donna,Allegra,,Home Girls: A Black Feminist Anthology ,1983,166,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
Miss Esther's Land,Barbara A. ,Banks,,Home Girls: A Black Feminist Anthology ,1983,179,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
Maria de las Rosas,Becky,Birtha,,Home Girls: A Black Feminist Anthology ,1983,177,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
Cat,Julie,Carter,,Home Girls: A Black Feminist Anthology ,1983,159,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
The Failure to Transform: Homophobia in the Black Community,Cheryl,Clarke,,Home Girls: A Black Feminist Anthology ,1983,197,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
Women of Summer,Cheryl,Clarke,,Home Girls: A Black Feminist Anthology ,1983,230,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
"If I Could Write This in Fire, I Would Write This in Fire ",Michelle,Cliff,,Home Girls: A Black Feminist Anthology ,1983,15,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
The Sisters,Alexis,De Veaux,,Home Girls: A Black Feminist Anthology ,1983,10,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
"For a Godchild, Regina, On the Occasion of Her First Love",Toi,Derricotte,,Home Girls: A Black Feminist Anthology ,1983,3,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
The Damned,Toi,Derricotte,,Home Girls: A Black Feminist Anthology ,1983,6,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
Hester's Song,Toi,Derricotte,,Home Girls: A Black Feminist Anthology ,1983,8,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
A Cultural Legacy Denied and Discovered: Black Lesbians in Fiction by Women,Jewelle,Gomez,,Home Girls: A Black Feminist Anthology ,1983,110,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
Poem,Akasha Gloria T. ,Hull,,Home Girls: A Black Feminist Anthology ,1983,-57,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
"""Under the Days"":The Buried Life and Poetry of Angeline Weld Grimké",Akasha Gloria T.,Hull,,Home Girls: A Black Feminist Anthology ,1983,73,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
What It Is I Think She's Doing Anyhow: A Reading of Toni Cade Bambara's _The Salt Eaters,Akasha Gloria T.,Hull,,Home Girls: A Black Feminist Anthology ,1983,124,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
Tar Beach,Audre,Lorde,,Home Girls: A Black Feminist Anthology ,1983,145,Barbara Smith,Kitchen Table: Women of Color Press,Afrekete: An Anthology of Black Lesbian Writing,1995,1,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,
LeRoy's Birthday,Raymina Y.,Mays,,Home Girls: A Black Feminist Anthology ,1983,168,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
Billy de Lye,Deidre,McCalla,,Home Girls: A Black Feminist Anthology ,1983,270,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
Where Will You Be?,Pat,Parker,,Home Girls: A Black Feminist Anthology ,1983,209,Barbara Smith,Kitchen Table: Women of Color Press,Afrekete: An Anthology of Black Lesbian Writing,1995,189,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,
The Black Goddess,Kate,Rushin,,Home Girls: A Black Feminist Anthology ,1983,328,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
The Black Lesbian in American Literature: An Overview,Ann Allen,Shockley,,Home Girls: A Black Feminist Anthology ,1983,83,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
Introduction,Barbara,Smith,,Home Girls: A Black Feminist Anthology ,1983,-19,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
"The Blood—Yes, The Blood: A Conversation",Cenen; Barbara,Smith,,Home Girls: A Black Feminist Anthology ,1983,31,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
Home,Barbara,Smith,,Home Girls: A Black Feminist Anthology ,1983,64,Barbara Smith,Kitchen Table: Women of Color Press,,,,,,,,,,,,,
The Wedding,Beverly,Smith,,Home Girls: A Black Feminist Anthology ,1983,171,Barbara Smith,Kitchen Table: Women of Color Press,Mouths of Rain: Anthology of Black Lesbian Thought,2021,97,Briona Simone Jones,The New Press,,,,,,,,
Lesbians Get A.I.D.S.,Karen,Augustine,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,266,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
JOE/Rape Poem,Karen,Augustine,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,365,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Driving Alone To P-Town Is No Easy Thing,S. Renee,Bess,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,279,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
The Joys and Power in Celibacy ,SDiane,Bogus,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,355,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Hard Against the Soul,Dionne,Brand,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,58,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
The Window,Carol,Camper,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,79,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Gaia,Carol,Camper,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,326,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Untitled,Carol,Camper,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,328,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Untitled,Heather D.,Clark,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,369,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
"Saying the Least Said, Telling the Least Told: The Voices of Black Lesbian Writers",Cheryl,Clarke,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,171,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Living as a lesbian on the make,Cheryl,Clarke,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,335,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Great Expectations,Cheryl,Clarke,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,376,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
"Leaving Home, Coming Home",Anette,Clough,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,8,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Dos Culturas / Two Cultures,Maria,Cora,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,193,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Single Embrace,Maria,Cora,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,225,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Fear,Maria,Cora,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,227,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
A Time,Debbie,Douglas,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,119,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Taking the Home out of Homophobia: Black Lesbian Health,Jewelle; Barbara,Gomez; Smith,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,40,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Tell Me,Donayle L.,Hammond,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,329,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Issada,Doris L.,Harris,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,70,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Image,Doris L.,Harris,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,243,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Goodbye,Doris L.,Harris,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,248,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Interview with Miss Ruth,Terri,Jewell,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,149,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
I Am Your Sister: Black Women Organizing Across Sexualities,Audre,Lorde,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,94,Makeda Silvera,Sister Vision,Mouths of Rain: Anthology of Black Lesbian Thought,2021,198,Briona Simone Jones,The New Press,,,,,,,,
In the Trenches,Raymina Y.,Mays,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,212,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Dear Sisters,Judy,Nicholson,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,106,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
From Space to Page,Judy,Nicholson,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,222,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Until You Said,Judy,Nicholson,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,274,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Reaching Across the Void,Christina,Springer,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,11,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Ancestor Song,Christina,Springer,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,139,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Alana,Christina,Springer,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,256,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
A Black Girl Thing,Christina,Springer,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,38,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Casselberry Harvest,Leleti,Tamu,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,27,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Making Love on Canvas,Leleti,Tamu,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,28,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Wrap Around Joy,Leleti,Tamu,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,332,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Expectations,Leleti,Tamu,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,333,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Meditation on LOC Sisterhood,Skye,Ward,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,105,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
I Too Like to Eat Out,Laura Irene,Wayne,,Piece Of My Heart: A Lesbian of Colour Anthology,1991,310,Makeda Silvera,Sister Vision,,,,,,,,,,,,,
Kaleidoscope,Jamika,Ajalon,,Afrekete: An Anthology of Black Lesbian Writing,1995,139,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Ruby,Cynthia,Bond,,Afrekete: An Anthology of Black Lesbian Writing,1995,229,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Screen Memory,Michelle,Cliff,,Afrekete: An Anthology of Black Lesbian Writing,1995,195,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
What Has Yet to Be Sung,Malkia,Cyril,,Afrekete: An Anthology of Black Lesbian Writing,1995,97,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Dear Aunt Nanadine,Alexis,De Veaux,,Afrekete: An Anthology of Black Lesbian Writing,1995,79,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Queen for 307 Days,Jackie,Goldsby,,Afrekete: An Anthology of Black Lesbian Writing,1995,165,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Work of an Eye,Jewelle,Gomez,,Afrekete: An Anthology of Black Lesbian Writing,1995,125,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
The Old Lady,Carolivia,Herron,,Afrekete: An Anthology of Black Lesbian Writing,1995,101,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Dare,Melanie,Hope,,Afrekete: An Anthology of Black Lesbian Writing,1995,255,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Water Call,Helen Elaine,Lee,,Afrekete: An Anthology of Black Lesbian Writing,1995,49,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Today Is Not the Day,Audre,Lorde,,Afrekete: An Anthology of Black Lesbian Writing,1995,305,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Take Care,Sharee,Nash,,Afrekete: An Anthology of Black Lesbian Writing,1995,271,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Odds and Ends,Michelle,Parkerson,,Afrekete: An Anthology of Black Lesbian Writing,1995,89,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Testimony of a Naked Woman,Jocelyn Maria,Taylor,,Afrekete: An Anthology of Black Lesbian Writing,1995,29,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Revelations,Linda,Villarosa,,Afrekete: An Anthology of Black Lesbian Writing,1995,215,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
Ode to Aretha,Evelyn C.,White,,Afrekete: An Anthology of Black Lesbian Writing,1995,295,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
"Tuesday, August Third",Jacqueline,Woodson,,Afrekete: An Anthology of Black Lesbian Writing,1995,63,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
American Dream,Sapphire,,,Afrekete: An Anthology of Black Lesbian Writing,1995,19,Catherine E. McKinley and L. Joyce DeLaney,Double Day Press,,,,,,,,,,,,,
